NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,phish_prob,pred_at_threshold
1,0,0,32,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0,0,0,2,1,0.395,0
1,0,0,32,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0,0,0,2,1,0.395,0
1,0,0,32,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0,0,0,2,1,0.395,1
1,0,0,37,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,1,0.465,1
2,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0.22166666666666668,0
2,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,1,1,0.5005555555555555,1
2,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,1,1,0.415,1
2,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,1,1,0.415,1
3,2,1,43,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,6,0,0,2,1,0.815,1
2,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0.235,0
2,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0.21,0
2,1,1,43,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,0,0,2,1,0.655,1
1,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0.42,1
1,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0.42,0
2,1,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0.965,1
2,1,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0.965,1
2,1,1,47,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7,0,0,2,1,0.69,1
2,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,0.195,0
,,,,,,,,,,,,,,,,,,,,,,,,,0.784,1
,,,,,,,,,,,,,,,,,,,,,,,,,0.784,1
,,,,,,,,,,,,,,,,,,,,,,,,,0.784,1
,,,,,,,,,,,,,,,,,,,,,,,,,0.784,1
,,,,,,,,,,,,,,,,,,,,,,,,,0.784,1
,,,,,,,,,,,,,,,,,,,,,,,,,0.784,1
2,1,0,22,0,,0,,,,,,,,0,0,,,,,,,,0,,0.1317094017094017,0
1,0,0,31,2,,0,,,,,,,,0,0,,,,,,,,1,,0.3406666666666666,0
1,0,0,30,2,,0,,,,,,,,0,0,,,,,,,,2,,0.3256666666666666,0
1,0,0,30,2,,0,,,,,,,,0,0,,,,,,,,2,,0.3256666666666666,0
2,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0.22166666666666668,0
1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0.115,0
1,0,0,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,1,0.39,1
1,0,0,30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3,1,0.38,1
1,0,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,1,1,0.4,1
2,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0.22166666666666668,0
1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.005,0
1,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0.01,0
1,0,0,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,1,0.39,0
1,0,0,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,1,0.39,1
1,0,0,30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3,1,0.38,1
1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0.115,0
1,0,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,1,1,0.4,1
2,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0.22166666666666668,0
1,0,0,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,1,0.39,1
1,0,0,30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3,1,0.38,1
1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0.115,0
1,0,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,1,1,0.4,1
